_date,total_clones,unique_clones
2020-12-26,1,1
2020-12-27,2,2
2020-12-31,2,1
2021-01-01,1,1
2021-01-02,1,1
2021-01-05,1,1
2021-01-06,2,2
2021-01-07,1,1
2021-01-08,1,1
2021-01-09,1,1
2021-01-11,1,1
2021-01-12,23,2
2021-01-13,4,1
2021-01-14,13,4
2021-01-15,94,8
2021-01-16,8,4
2021-01-18,8,2
2021-01-19,1,1
2021-01-20,1,1
2021-01-21,2,1
2021-01-22,3,2
2021-01-25,6,1
2021-01-26,2,2
2021-01-27,2,1
2021-01-29,3,1
2021-01-31,2,2
2021-02-01,4,2
2021-02-02,5,2
2021-02-03,10,5
2021-02-04,8,5
2021-02-08,6,5
2021-02-09,2,2
2021-02-10,12,9
2021-02-11,7,5
2021-02-15,4,4
2021-02-16,3,3
2021-02-19,7,4
2021-02-21,3,3
2021-02-22,2,2
2021-02-23,2,2
2021-02-25,1,1
2021-02-26,1,1
2021-03-01,4,3
2021-03-02,3,3
2021-03-03,1,1
2021-03-04,1,1
2021-03-06,1,1
2021-03-08,12,7
2021-03-12,2,2
2021-03-13,1,1
2021-03-15,1,1
2021-03-16,3,3
2021-03-17,1,1
2021-03-18,4,3
2021-03-21,1,1
2021-03-22,6,4
2021-03-23,9,4
2021-03-24,4,1
2021-03-25,25,10
2021-03-26,1,1
2021-03-27,1,1
2021-03-29,2,2
2021-03-30,15,8
2021-03-31,11,6
2021-04-02,9,5
2021-04-03,2,1
2021-04-05,1,1
2021-04-06,5,4
2021-04-07,3,3
2021-04-08,3,3
2021-04-09,25,11
2021-04-10,1,1
2021-04-11,1,1
2021-04-12,8,6
2021-04-13,2,2
2021-04-14,2,2
2021-04-15,2,2
2021-04-16,1,1
2021-04-17,1,1
2021-04-18,1,1
2021-04-19,8,6
2021-04-20,1,1
2021-04-23,6,4
2021-04-26,4,4
2021-04-27,3,3
2021-04-29,6,5
2021-04-30,52,26
2021-05-03,13,9
2021-05-04,1,1
2021-05-05,7,6
2021-05-07,1,1
2021-05-10,4,4
2021-05-11,57,23
2021-05-12,83,24
2021-05-13,4,4
2021-05-18,44,32
2021-05-19,6,6
2021-05-20,7,7
2021-05-21,1,1
2021-05-22,3,3
2021-05-23,2,2
